species,iteration,maxfish,minrec,asympLen,growthCoef,lenWtPower,lenWtCoef,maxage,minsize,bgResource
Gadus_macrocephalus,8,0.0,4.524911983586882e-05,[97.1375     21.47409985],[0.257      0.17390884],3.0309618039127395,0.009585712693991345,25,2.024642055928476,12866.0
Micromesistius_australis,1,0.01,0.0003839183777600891,[55.5175      4.54358496],[0.2405     0.07245294],3.1712502789147723,0.0036498189783598623,25,0.2484992782072656,1038.0
Engraulis_ringens,8,0.08,0.07598449128581015,[19.87222222  1.42094862],[0.97909524 0.25100352],3.019606616701913,0.006344537445622917,3,0.010559016924340235,23.0
Micromesistius_australis,3,0.0,0.0003839183777600891,[55.5175      4.54358496],[0.2405     0.07245294],3.1686670914914528,0.0036927305781898566,25,0.2488257030291,1039.0
Melanogrammus_aeglefinus,5,0.04,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.140412215237057,0.005645009974977602,20,0.7009126747777832,3602.0
Micromesistius_poutassou,10,0.10999999999999999,0.001535233490263742,[36.91538462  5.79804742],[0.31853846 0.19533054],3.1475844375297695,0.003925240684100121,20,0.06726883437555327,216.0
Gadus_macrocephalus,10,0.02,4.524911983586882e-05,[97.1375     21.47409985],[0.257      0.17390884],2.986423117594683,0.011131679139355387,25,1.9176481363933129,12055.0
Micromesistius_australis,6,0.0,0.0003839183777600891,[55.5175      4.54358496],[0.2405     0.07245294],3.1729622556516883,0.0036216549362799314,25,0.24828318001723715,1037.0
Melanogrammus_aeglefinus,8,0.03,0.00013976917323532678,[69.92822222 13.0720669 ],[0.26293333 0.15285338],3.135293206603715,0.005743825807676946,20,0.6978429067583004,3583.0
Micromesistius_australis,9,0.0,0.0003839183777600891,[55.5175      4.54358496],[0.2405     0.07245294],3.1651366462738975,0.003752195034267881,25,0.24927252179007794,1041.0
Etrumeus_sadina,9,0.18000000000000002,0.011879138921013934,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.014002560458019,0.008485482161566284,6,0.029912220534933767,81.0
Micromesistius_australis,10,0.0,0.0003079599361927505,[55.5175      4.54358496],[0.2405     0.07245294],3.1757264022513976,0.0035766394586756443,25,0.2479346658589192,1035.0
Micromesistius_australis,5,0.01,0.0003839183777600891,[55.5175      4.54358496],[0.2405     0.07245294],3.170982539416121,0.00365424337151046,25,0.2485330912430438,1038.0
Thunnus_maccoyii,5,0.09,6.7911207554701694e-06,[228.6         24.16195356],[0.1444     0.02791595],3.0267423140522722,0.019051778820623855,20,52.63581624817923,641788.0
Merlangius_merlangus,1,0.0,0.0004437242140869676,[45.74444444 12.89773926],[0.34559596 0.1883166 ],3.058182690314384,0.006769919715045698,20,0.16189429287483192,620.0
Micromesistius_australis,2,0.05,0.0003839183777600891,[55.5175      4.54358496],[0.2405     0.07245294],3.164230359779032,0.0037676137621767522,25,0.24938735221429767,1042.0
Gadus_macrocephalus,4,0.05,4.524911983586882e-05,[97.1375     21.47409985],[0.257      0.17390884],3.058092997688592,0.008751204198658522,25,2.092723461095599,13387.0
Gadus_morhua,1,0.08,4.0688353929704704e-05,[110.03925234  29.12598774],[0.18537383 0.08534796],3.0697756767709143,0.007307806204378394,25,2.7033998027712336,18203.0
Merlangius_merlangus,4,0.0,0.0004437242140869676,[45.74444444 12.89773926],[0.34559596 0.1883166 ],3.0565329788028843,0.006815355897062601,20,0.16195616374263247,621.0
